,Name,Link
0,Donate,https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en
1,العربية,https://ar.wikipedia.org/wiki/%D8%AD%D9%81%D9%84_%D8%AA%D9%88%D8%B2%D9%8A%D8%B9_%D8%AC%D9%88%D8%A7%D8%A6%D8%B2_%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D9%83%D8%A7%D8%B1_%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3_%D9%88%D8%A7%D9%84%D8%AA%D8%B3%D8%B9%D9%88%D9%86
2,Azərbaycanca,https://az.wikipedia.org/wiki/Oskar_m%C3%BCkafat%C4%B1_(2022)
3,বাংলা,https://bn.wikipedia.org/wiki/%E0%A7%AF%E0%A7%AB%E0%A6%A4%E0%A6%AE_%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A1%E0%A7%87%E0%A6%AE%E0%A6%BF_%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0
4,Беларуская,"https://be.wikipedia.org/wiki/%D0%9E%D1%81%D0%BA%D0%B0%D1%80_(%D0%BA%D1%96%D0%BD%D0%B0%D0%BF%D1%80%D1%8D%D0%BC%D1%96%D1%8F,_2023)"
5,Bosanski,https://bs.wikipedia.org/wiki/95._dodjela_%22Oscara%22
6,Català,https://ca.wikipedia.org/wiki/Premis_Oscar_de_2022
7,Čeština,https://cs.wikipedia.org/wiki/95._ro%C4%8Dn%C3%ADk_ud%C3%ADlen%C3%AD_Oscar%C5%AF
8,Dansk,https://da.wikipedia.org/wiki/Oscaruddelingen_2023
9,Deutsch,https://de.wikipedia.org/wiki/Oscarverleihung_2023
10,Ελληνικά,https://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B1%CE%B2%CE%B5%CE%AF%CE%B1_%CE%91%CE%BC%CE%B5%CF%81%CE%B9%CE%BA%CE%B1%CE%BD%CE%B9%CE%BA%CE%AE%CF%82_%CE%91%CE%BA%CE%B1%CE%B4%CE%B7%CE%BC%CE%AF%CE%B1%CF%82_%CE%9A%CE%B9%CE%BD%CE%B7%CE%BC%CE%B1%CF%84%CE%BF%CE%B3%CF%81%CE%AC%CF%86%CE%BF%CF%85_2022
11,Español,https://es.wikipedia.org/wiki/95.%C2%AA_edici%C3%B3n_de_los_Premios_%C3%93scar
12,Euskara,https://eu.wikipedia.org/wiki/95._Oscar_Sariak
13,فارسی,https://fa.wikipedia.org/wiki/%D9%86%D9%88%D8%AF_%D9%88_%D9%BE%D9%86%D8%AC%D9%85%DB%8C%D9%86_%D8%AF%D9%88%D8%B1%D9%87_%D8%AC%D9%88%D8%A7%DB%8C%D8%B2_%D8%A7%D8%B3%DA%A9%D8%A7%D8%B1
14,Fiji Hindi,https://hif.wikipedia.org/wiki/95th_Academy_Awards
15,Français,https://fr.wikipedia.org/wiki/95e_c%C3%A9r%C3%A9monie_des_Oscars
16,Galego,https://gl.wikipedia.org/wiki/95%C2%AA_edici%C3%B3n_dos_%C3%93scar
